Symbol,Price,Day
KCHOL,"168,3",2025-10-27
TTKOM,"52,65",2025-10-27
ENKAI,76,2025-10-27
ULKER,"106,8",2025-10-27
SISE,"35,72",2025-10-27
MGROS,"456,17",2025-10-27
ISCTR,"12,51",2025-10-27
TOASO,266,2025-10-27
EKGYO,"19,76",2025-10-27
TCELL,100,2025-10-27
KOZAL,"25,6",2025-10-27
DSTKF,"561,5",2025-10-27
FROTO,"98,35",2025-10-27
GARAN,"128,8",2025-10-27
SAHOL,80,2025-10-27
SASA,"3,16",2025-10-27
AKBNK,"58,8",2025-10-27
AEFES,"14,41",2025-10-27
ASELS,"208,8",2025-10-27
EREGL,"27,68",2025-10-27
THYAO,295,2025-10-27
ASTOR,"95,4",2025-10-27
PETKM,"16,97",2025-10-27
PGSUS,"205,8",2025-10-27
TAVHL,"260,5",2025-10-24
GUBRF,"307,25",2025-10-24
YKBNK,"32,76",2025-10-24
KRDMD,"28,44",2025-10-24
BIMAS,"579,5",2025-10-24
TUPRS,"191,8",2025-10-24
ISCTR,"13,18",2025-10-24
KCHOL,"171,8",2025-10-24
TOASO,"276,75",2025-10-24
KOZAL,"26,1",2025-10-24
ULKER,109,2025-10-24
MGROS,"457,41",2025-10-24
TTKOM,"52,75",2025-10-24
AKBNK,"60,2",2025-10-24
DSTKF,"568,5",2025-10-24
GARAN,"131,6",2025-10-24
EKGYO,"20,1",2025-10-24
ENKAI,"75,5",2025-10-24
FROTO,100,2025-10-24
TCELL,"100,8",2025-10-24
SISE,"35,82",2025-10-24
SAHOL,"81,65",2025-10-24
AEFES,"14,45",2025-10-24
SASA,"3,16",2025-10-24
PETKM,"17,36",2025-10-24
ASELS,"203,9",2025-10-24
ASTOR,"96,2",2025-10-24
THYAO,297,2025-10-24
PGSUS,"208,4",2025-10-24
EREGL,"27,24",2025-10-24
TAVHL,"251,5",2025-10-23
TOASO,"275,25",2025-10-23
TUPRS,187,2025-10-23
GUBRF,"295,75",2025-10-23
KRDMD,"26,62",2025-10-23
ENKAI,"74,5",2025-10-23
EKGYO,"19,38",2025-10-23
TCELL,"98,55",2025-10-23
DSTKF,542,2025-10-23
ULKER,"104,3",2025-10-23
YKBNK,"30,36",2025-10-23
AKBNK,"58,55",2025-10-23
KCHOL,"162,8",2025-10-23
TTKOM,"51,55",2025-10-23
FROTO,"96,95",2025-10-23
MGROS,"446,49",2025-10-23
BIMAS,547,2025-10-23
GARAN,"126,2",2025-10-23
SISE,"34,54",2025-10-23
ISCTR,"12,06",2025-10-23
KOZAL,"24,86",2025-10-23
ASELS,"206,5",2025-10-23
ASTOR,"93,55",2025-10-23
AEFES,"13,87",2025-10-23
SAHOL,"78,35",2025-10-23
SASA,"3,13",2025-10-23
EREGL,"26,84",2025-10-23
PGSUS,"203,2",2025-10-23
PETKM,"16,76",2025-10-23
THYAO,"284,25",2025-10-23
TAVHL,243,2025-10-22
ENKAI,"74,6",2025-10-22
FROTO,"97,7",2025-10-22
KRDMD,"26,4",2025-10-22
DSTKF,548,2025-10-22
EKGYO,"19,34",2025-10-22
TUPRS,"181,7",2025-10-22
AKBNK,"57,9",2025-10-22
YKBNK,"30,24",2025-10-22
ULKER,104,2025-10-22
AEFES,"14,35",2025-10-22
TCELL,"97,6",2025-10-22
MGROS,"445,25",2025-10-22
GARAN,126,2025-10-22
GUBRF,"283,25",2025-10-22
ASELS,"207,6",2025-10-22
ISCTR,"12,06",2025-10-22
TOASO,"260,5",2025-10-22
TTKOM,"50,75",2025-10-22
KCHOL,"160,4",2025-10-22
ASTOR,"94,2",2025-10-22
BIMAS,538,2025-10-22
SISE,"34,1",2025-10-22
KOZAL,"23,76",2025-10-22
EREGL,"26,84",2025-10-22
PGSUS,"206,2",2025-10-22
SASA,"3,01",2025-10-22
SAHOL,"77,45",2025-10-22
PETKM,"16,79",2025-10-22
THYAO,288,2025-10-22
TAVHL,236,2025-10-21
FROTO,98,2025-10-21
EKGYO,"19,3",2025-10-21
DSTKF,"537,5",2025-10-21
ASTOR,"95,75",2025-10-21
AKBNK,"57,6",2025-10-21
TCELL,"96,95",2025-10-21
AEFES,"14,28",2025-10-21
ULKER,103,2025-10-21
EREGL,"27,36",2025-10-21
ENKAI,"71,2",2025-10-21
KRDMD,"25,8",2025-10-21
ISCTR,"12,06",2025-10-21
GARAN,"125,9",2025-10-21
KOZAL,"24,36",2025-10-21
YKBNK,"29,74",2025-10-21
PGSUS,"210,3",2025-10-21
TUPRS,"176,1",2025-10-21
ASELS,"205,6",2025-10-21
GUBRF,278,2025-10-21
TOASO,255,2025-10-21
MGROS,"428,86",2025-10-21
BIMAS,524,2025-10-21
TTKOM,"49,7",2025-10-21
KCHOL,"157,4",2025-10-21
SISE,"33,52",2025-10-21
THYAO,"294,5",2025-10-21
SASA,"3,01",2025-10-21
SAHOL,"77,45",2025-10-21
PETKM,"16,81",2025-10-21
AEFES,"14,74",2025-10-20
ASTOR,"97,6",2025-10-20
KOZAL,25,2025-10-20
FROTO,"96,5",2025-10-20
AKBNK,"57,95",2025-10-20
DSTKF,"534,5",2025-10-20
ENKAI,"72,15",2025-10-20
EKGYO,"18,99",2025-10-20
TAVHL,231,2025-10-20
BIMAS,538,2025-10-20
MGROS,"438,79",2025-10-20
ULKER,"102,1",2025-10-20
TCELL,"96,8",2025-10-20
PGSUS,212,2025-10-20
TUPRS,"177,4",2025-10-20
GUBRF,282,2025-10-20
EREGL,"27,18",2025-10-20
SASA,"3,11",2025-10-20
GARAN,"124,2",2025-10-20
ISCTR,"11,77",2025-10-20
ASELS,"203,9",2025-10-20
KRDMD,"25,16",2025-10-20
YKBNK,"29,38",2025-10-20
TTKOM,"49,82",2025-10-20
THYAO,"297,75",2025-10-20
TOASO,"251,5",2025-10-20
PETKM,"17,2",2025-10-20
SAHOL,"77,6",2025-10-20
SISE,"33,32",2025-10-20
KCHOL,"155,3",2025-10-20
AEFES,"14,28",2025-10-17
ENKAI,"70,5",2025-10-17
ASTOR,"95,25",2025-10-17
TCELL,"94,25",2025-10-17
DSTKF,517,2025-10-17
KOZAL,24,2025-10-17
EREGL,"26,4",2025-10-17
TUPRS,"173,2",2025-10-17
FROTO,"92,8",2025-10-17
TAVHL,"224,3",2025-10-17
BIMAS,527,2025-10-17
ULKER,"99,4",2025-10-17
PGSUS,"205,8",2025-10-17
TOASO,"255,25",2025-10-17
MGROS,"425,14",2025-10-17
AKBNK,"54,85",2025-10-17
SASA,"3,03",2025-10-17
EKGYO,"18,4",2025-10-17
TTKOM,"48,12",2025-10-17
SISE,"32,88",2025-10-17
KRDMD,"24,4",2025-10-17
THYAO,292,2025-10-17
ASELS,"194,9",2025-10-17
GUBRF,"267,25",2025-10-17
KCHOL,"152,7",2025-10-17
PETKM,"17,13",2025-10-17
YKBNK,"28,12",2025-10-17
GARAN,"118,1",2025-10-17
SAHOL,"75,6",2025-10-17
ISCTR,"11,28",2025-10-17
ENKAI,"70,7",2025-10-16
KOZAL,"24,92",2025-10-16
DSTKF,514,2025-10-16
BIMAS,"539,5",2025-10-16
AEFES,"13,9",2025-10-16
TUPRS,"176,2",2025-10-16
PETKM,"18,89",2025-10-16
ASTOR,"92,95",2025-10-16
TTKOM,"50,25",2025-10-16
EREGL,"27,14",2025-10-16
TCELL,"95,8",2025-10-16
MGROS,"434,33",2025-10-16
SASA,"3,06",2025-10-16
GUBRF,"274,75",2025-10-16
ASELS,204,2025-10-16
AKBNK,"55,3",2025-10-16
TAVHL,"225,1",2025-10-16
PGSUS,"207,8",2025-10-16
ULKER,"99,2",2025-10-16
FROTO,"90,55",2025-10-16
EKGYO,"18,5",2025-10-16
TOASO,"254,75",2025-10-16
SISE,"33,38",2025-10-16
THYAO,296,2025-10-16
KRDMD,"24,9",2025-10-16
KCHOL,156,2025-10-16
SAHOL,"77,8",2025-10-16
ISCTR,"11,58",2025-10-16
YKBNK,"28,42",2025-10-16
GARAN,"120,5",2025-10-16
PETKM,"20,98",2025-10-15
ENKAI,"73,65",2025-10-15
AEFES,14,2025-10-15
BIMAS,"546,5",2025-10-15
TUPRS,"178,4",2025-10-15
TTKOM,"50,85",2025-10-15
ASTOR,"92,75",2025-10-15
EREGL,"27,7",2025-10-15
SISE,"34,52",2025-10-15
ASELS,"207,5",2025-10-15
MGROS,"440,78",2025-10-15
GUBRF,"277,25",2025-10-15
DSTKF,504,2025-10-15
TCELL,"95,75",2025-10-15
SASA,"3,13",2025-10-15
THYAO,"300,75",2025-10-15
TAVHL,"227,2",2025-10-15
KOZAL,"24,04",2025-10-15
ULKER,"100,8",2025-10-15
PGSUS,"209,1",2025-10-15
FROTO,"91,75",2025-10-15
TOASO,260,2025-10-15
EKGYO,"18,65",2025-10-15
SAHOL,"78,95",2025-10-15
KRDMD,"25,34",2025-10-15
KCHOL,"158,7",2025-10-15
ISCTR,"11,82",2025-10-15
AKBNK,"53,6",2025-10-15
YKBNK,"28,34",2025-10-15
GARAN,"118,8",2025-10-15
PETKM,"19,9",2025-10-14
ENKAI,"69,5",2025-10-14
ASELS,212,2025-10-14
BIMAS,"544,5",2025-10-14
GUBRF,278,2025-10-14
THYAO,302,2025-10-14
AEFES,"13,39",2025-10-14
TUPRS,"174,1",2025-10-14
MGROS,"436,31",2025-10-14
TTKOM,"49,32",2025-10-14
FROTO,"92,45",2025-10-14
SISE,"33,68",2025-10-14
ASTOR,"88,5",2025-10-14
KOZAL,"23,64",2025-10-14
SAHOL,"78,9",2025-10-14
SASA,"3,08",2025-10-14
PGSUS,"208,7",2025-10-14
TAVHL,221,2025-10-14
ULKER,99,2025-10-14
KCHOL,"156,9",2025-10-14
DSTKF,"458,25",2025-10-14
TOASO,"249,6",2025-10-14
TCELL,"90,85",2025-10-14
EKGYO,"18,06",2025-10-14
EREGL,"25,96",2025-10-14
YKBNK,"28,76",2025-10-14
AKBNK,"53,5",2025-10-14
ISCTR,"11,64",2025-10-14
KRDMD,"24,26",2025-10-14
GARAN,"119,5",2025-10-14
PETKM,"19,45",2025-10-13
GUBRF,"287,5",2025-10-13
ENKAI,"69,6",2025-10-13
ASELS,214,2025-10-13
TAVHL,"233,5",2025-10-13
